tidak_baku,kata_baku;
trm ksh,terima kasih;
bmana,bagaimana;
min,admin;
mmsan,memesan;
tapi,tetapi;
trus,terus;
blm,belum;
mendptkan,mendapatkan;
tdk,tidak;
brngkat,berangkat;
tp,tetapi;
\n,dan;
no,tidak;
gt,begitu;
mureh,murah;
msan,pesan;
gue,saya;
bgt,banget;
krn,karena;
gapapa,tidak apa apa;
lho,loh;
tlp,telepon;
sring,sering;
srng,sering;
srg,sering;
x,sangat;
mncul,muncul;
bgt,sangat;
bngt,sangat;
duh,waduh;
2hari,dua hari;
ujungujungnya,ujung-ujungnya;
hr,hari;
applikasinya,aplikasi-nya;
bner,benar;
hahaha,tertawa;
1x24,satu hari dua puluh empat jam;
launching,diluncurkan;
mantaf,mantap;
sia2,sia-sia;
mntap,mantap;
ditelp,di telepon;
aps,aplikasi;
smart,pintar;
sudh,sudah;
bank2,bank;
guys,teman-teman;
bangat,banget;
trx,terima kasih;
kicep,diam;
jengkel,marah;
ditelfon,di telepon;
nelp,telepon;
list,daftar;
bln,bulan;
anehhh,aneh;
wajahtersenyumdenganairmata,menyerah;
xl,perusahaan internet;
selfi,swafoto;
25rb,dua puluh lima ribu rupiah;
sngt,sangat;
wajahmenangiskeraswajahmenangiskeraswajahmenangiskeras,sedih dan menyerah;
alesan,alasan;
pk,pakai;
cma,Cuma;
gaje,tidak jelas;
ram,alat di handphone;
kmrn,kemarin;
one,satu;
tuker,tukar;
plus,tambah;
akhir2,akhir;
all,semua;
live,siaran langsung;
sign,daftar;
bales,balas;
payahhh,payah;
use,gunakan;
mmg,memang;
bnr,benar;
gbs,tidak bisa;
save,simpan;
kasian,kasihan;
pkai,pakai;
negri,negeri;
dng,dengan;
pisan,sangat;
bugs,error;
sruh,suruh;
flow,alur;
becus,beres;
selfie,swafoto;
nie,ini;
td,tadi;
diklik,ditekan;
sampek,sampai;
ma,sama;
okay,oke;
jlas,jelas;
th,tahun;
dear,untuk;
npwp,surat keuangan pegawai;
gajian,gajihan;
ngehabisin,menghabiskan;
ntah,entahlah;
mala,malah;
gag,tidak;
ia,iya;
cacad,jelek;
ngurangin,mengurangi;
non,tidak;
sii,si;
krim,kirim;
mantapppp,mantap;
suda,sudah;
indihome,perusahaan internet;
apalah,bingung;
uinya,tampilan;
bener²,benar-benar;
ribetttt,ribet;
tol,jalan tol;
ux,tampilan;
dehh,deh;
bank²,bank;
expresi,nama program bank BCA;
malem,malam;
anj,anjing;
ajj,saja;
boss,bos;
mendownload,unduh;
kembangin,mengembangkan;
bcanya,Bank BCA;
sorry,maaf;
atw,atau;
me,saya;
wajahgembira,senang;
tsb,tersebut;
tlong,tolong;
request,meminta;
ka,kakak;
verfikasi,verifikasi;
pokonya,pokoknya;
berulangkali,berulang kali;
aktifasinya,aktivitas;
30k,tiga puluh ribu rupiah;
oon,bodoh;
suport,mendukung;
berulang²,berulang kali;
nyebelin,menyebalkan;
sok,ayo;
realtime,real time;
mlm,perusahaan keuangan;
free,gratis;
biometric,biometrik;
ajg,anjing;
brpa,berapa;
bisaa,bisa;
mbaking,mobile banking;
lama2,lama-lama;
6x,enam kali;
jelas2,jelas-jelas;
hatimerah,suka;
berteletele,basa basi;
mantaps,mantap;
mobilebca,BCA Mobile;
font,jenis huruf;
siasia,sia-sia;
mhn,mohon;
cpt,cepat;
reksadana,perusahaan keuangan;
ket,keterangan;
cashless,kurang uang;
nulis,menulis;
truss,terus;
far,jauh;
bget,banget;
rugikan,rugi;
kk,kartu keluarga;
nemu,menemukan;
bgtt,banget;
cba,coba;
smooth,lancar;
gamasuk,tidak masuk;
wktu,waktu;
ane,saya;
setting,mengatur;
hadeeh,waduh;
haduhhh,waduh;
nmr,nomor;
siip,sip;
slah,salah;
kerenn,keren;
downlod,unduh;
flash,fitur bank bca;
mpayment,fitur pembayaran bank bca;
terkoneksi,terhubung;
donload,unduh;
cardles,kurang penggunaan kartu;
penyempurnaan,sempurna;
hallobca,layanan bank bca;
mudahkan,mudah;
bayar2,bayar;
seger,segar;
ngeri,mengerikan;
aktip,aktif;
test,tes;
lngsung,langsung;
bli,beli;
relog,re-login;
boncos,bangkrut;
suru,suruh;
kenpa,kenapa;
btw,ngomong-ngomong;
wae,aja;
4g,sinyal internet;
njir,waduh;
alhamdulilah,alhamdulillah;
gakbisa,tidak bisa;
membantujempolkeatas,mantap;
dapet2,dapat;
halah,mengabaikan;
awal2,awal;
bintangbersinar,suka;
sering2,sering-sering;
parahhh,parah;
haha,tertawa;
apa²,apa-apa;
tai,jelek;
oopps,waduh;
hadehhhh,waduh;
be,biasa saja;
teh,jadi;
sh,sih;
trnsaksi,transaksi;
dikit²,sedikit-sedikit;
ge,saya;
100x,seratus kali;
trnyta,ternyata;
masukkeluar,masuk dan keluar;
now,sekarang;
wajahtersenyumdengan3hati,cinta;
bumn,perusahaan pekerjaan;
bangt,banget;
jdinya,jadinya;
well,jadinya;
bet,banget;
nutup,tutup;
dunk,dong;
smg,semoga;
josss,mantap;
ahir,akhir;
shopeepay,pembayaran online;
wajahmarah,benci;
krtu,kartu;
idnya,id bank bca;
woi,halo;
gaperlu,tidak perlu;
bkn,bikin;
trnyata,ternyata;
recommend,rekomendasi;
susa,susah;
ulng,ulang;
jempolkebawahjempolkebawahjempolkebawah,tidak suka;
ogah,tidak mau;
ngg,tidak;
safety,keamanan;
etoll,keuangan elektronik jalan tol;
tri,perusahaan jaringan;
bagussangat,sangat bagus;
bgst,bangsat;
blur,buram;
sim1,sim satu di handphone;
mao,mau;
tk,tenaga kerja;
skli,sekali;
dftr,daftar ;
teruspadahal,terus padahal;
terus²an,terus-terusan;
solving,menyelesaikan;
first,pertama;
era,zaman;
ak,saya;
gapernah,tidak pernah;
gg,mantap;
jempolkeataswarnakulitcerah,suka;
gegara,gara-gara;
people,orang-orang;
melipattanganmelipattanganmelipattangan,terima kasih;
stak,stuck;
gblk,goblok;
thankyou,terima kasih;
gilaaa,gila;
cuk,hey;
luck,beruntung;
mas,masa;
mantaaap,mantap;
pasca,setelah;
gda,tidak ada;
mikir,pikir;
akunnya,akun;
donlot,unduh;
okee,oke;
mbulet,memutar disitu saja;
ortu,orang tua;
unlock,membuka;
phone,handphone;
milih,memilih;
emng,memang;
kereeeen,keren;
work,bekerja;
image,gambar;
kyak,seperti;
lh,ih;
tbtb,tiba-tiba;
huft,capek;
mantapjempolkeatas,mantap;
send,kirim;
dimintai,diminta;
norekening,nomor rekening;
pling,paling;
apasih,apa sih;
gpp,tidak apa apa;
bertahun2,bertahun-tahun;
bot,robot;
menu2,menu-menu;
iy,iya;
nda,tidak;
vitur,fitur;
bapuk,jelek;
teros,terus;
br,baru;
blg,bilang;
kebuang,terbuang;
kira2,kira-kira;
paswod,password;
wajahmengantuk,capek;
idpasword,id password;
100rb,seratus ribu rupiah;
oneklik,one klik;
pnya,punya;
mantull,mantap banget;
better,lebih baik;
okeee,oke;
wajahsangatmarah,marah;
tentunya,marah;
terulang,berulang;
ujung²nya,ujung-ujungnya;
apply,tambahkan;
yaah,yah;
jossss,mantap;
kapanpun,kapan pun;
fiture,fitur;
300jt,tiga ratus juta rupiah;
tampilanya,tampilan;
paswor,password;
joss,mantap;
terus2an,terus-terusan;
taii,tai;
pdf,file elektronik;
tau2,tau-tau;
off,mati;
pitur,fitur;
maybca,mybca;
okey,oke;
pdam,perusahaan air minum;
ngabis2in,habiskan;
hnya,hanya;
bertele,bertele-tele;
benarbenar,benar-benar;
sesusah,sesudah;
ato,atau;
50ribu,lima puluh ribu rupiah;
ngaktifin,aktifkan;
unistall,uninstall;
kerennn,keren;
custamer,customer;
bifast,fitur transaksi bank indonesia;
repot2,repot-repot;
ngehang,rusak;
design,desain;
fitu,fitur;
lngkap,lengkap;
security,keamanan;
spy,supaya;
edeposito,e-deposito;
menelpon,telepon;
devicenya,alat;
gadgetin,channel youtube;
kblokir,terblokir;
confirmasi,konfirmasi;
akhirny,akhirnya;
are,apakah;
or,atau;
mksdnya,maksudnya;
say,saya;
oto,perusahaan leasing keuangan;
muncul2,muncul-muncul;
yh,yah;
mantabbb,mantap;
boro2,boro-boro;
apikasi,aplikasi;
kntor,kantor;
temen,teman;
sgala,segala;
bacaan,baca;
parahhhh,parah;
ewalet,e-wallet;
mumet,ribet;
pulsaa,pulsa;
gatau,tidak tahu;
bless,baik;
haru,harus;
makai,pakai;
wajahmenangis,sedih;
sebenar,sebenarnya;
sagat,sangat;
bukak,buka;
ngebantu,terbantu;
mhon,mohon;
alesannya,alasannya;
anehh,aneh;
ganguan,gangguan;
diinstal,di install;
ijin,izin;
ketus,kasar;
tidk,tidak;
dua2nya,dua-duanya;
terbelokir,terblokir;
crash,rusak;
skali,sekali;
cool,keren;
wajahgembirawajahgembira,;
keliatan,kelihatan;
appsnya,aplikasinya;
terussss,terus;
nilaiseratus,nilai seratus;
kepending,tertunda;
payrol,payroll;
spaylater,fitur pembayaran aplikasi shopee;
store,google play store;
sangt,sangat;
seharihari,sehari-hari;
trusss,terus;
updatean,update;
skg,sekarang;
ktnya,katanya;
oppps,waduh;
ayok,ayo;
aga,agak;
transaction,transaksi;
ups,waduh;
makasi,terima kasih;
konoha,negara indonesia;
telf,telepon;
hehe,tertawa;
ttap,tetap;
bgttt,banget;
sistemny,sistemnya;
koplak,konyol;
30x,tiga puluh kali;
aza,aja;
ngabisiin,menghabiskan;
krja,kerja;
gara²,gara-gara;
priatepukjidat,capek;
indosat,perusahaan internet;
gbsa,tidak bisa;
matiin,matikan;
aplikasiny,aplikasinya;
tetp,tetap;
kalii,kali;
prima,jenis layanan transaksi bank;
gni,gini;
wkwkwkwk,tertawa;
aman²,aman-aman;
akhir²,akhir-akhir;
20x,dua puluh kali;
tmpt,tempat;
masah,masa;
bapakibu,bapak ibu;
develop,developer;
frendly,ramah;
sich,sih;
malas,malas;
cab,cabang;
diulang2,berulang;
hang,rusak;
haduhh,waduh;
ngeluhin,mengeluh;
cemen,tidak hebat;
serumit,rumit;
of,dari;
gercep,gesit;
kalu,kalau;
skip,lompati;
infinix,merk handphone;
bangetttt,banget;
lamalama,banget;
mnding,mending;
wort,layak;
astaghfirullah,mengingat tuhan;
tekor,bangkrut;
telpn,telepon;
bagussss,bagus;
